// Compost colors for ae2. You may add your own colors, change existing ones, or remove colors that aren't needed.
advanced_card, #f1faf7
annihilation_core, #fcfefc
basic_card, #faebdd
black_lumen_paint_ball, #ffffff
black_paint_ball, #e7e7e7
blank_pattern, #ffffff
blue_lumen_paint_ball, #ffffff
blue_paint_ball, #e7e7e7
brown_lumen_paint_ball, #ffffff
brown_paint_ball, #e7e7e7
calculation_processor, #f8d3e0
calculation_processor_press, #ffffff
capacity_card, #eed2c0
cell_component_16k, #bcd2e7
cell_component_1k, #abbcd0
cell_component_256k, #c3e8ff
cell_component_4k, #afc2d4
cell_component_64k, #c3ddf2
certus_quartz_axe, #ffffff
certus_quartz_crystal, #ffffff
certus_quartz_cutting_knife, #ffffff
certus_quartz_dust, #ffffff
certus_quartz_hoe, #f5f8f5
certus_quartz_pickaxe, #ffffff
certus_quartz_shovel, #ffffff
certus_quartz_sword, #b1daff
certus_quartz_wrench, #ffffff
charged_certus_quartz_crystal, #ffffff
charged_staff, #ffffff
color_applicator, #fef7f4
crafting_card, #f1d4c5
crafting_pattern, #faffff
creative_fluid_cell, #ffffff
creative_item_cell, #ffffff
cyan_lumen_paint_ball, #ffffff
cyan_paint_ball, #e7e7e7
debug_card, #ffffff
debug_eraser, #d7d7ff
debug_meteorite_placer, #b5b5ff
debug_replicator_card, #ffffff
ender_dust, #e0ffff
energy_card, #bfb5af
engineering_processor, #c8d4cc
engineering_processor_press, #ffffff
entropy_manipulator, #ffffff
equal_distribution_card, #f7726e
fluid_cell_housing, #c94625
fluid_storage_cell_16k, #b47326
fluid_storage_cell_1k, #d74e29
fluid_storage_cell_256k, #d35a57
fluid_storage_cell_4k, #e77522
fluid_storage_cell_64k, #bf7558
fluix_axe, #846280
fluix_crystal, #cfb9f7
fluix_dust, #faf5ff
fluix_hoe, #7a5b5c
fluix_pearl, #d3beff
fluix_pickaxe, #78576c
fluix_shovel, #906882
fluix_sword, #70549e
fluix_upgrade_smithing_template, #ffffff
formation_core, #fffef5
fuzzy_card, #eae3de
gray_lumen_paint_ball, #ffffff
gray_paint_ball, #e7e7e7
green_lumen_paint_ball, #ffffff
green_paint_ball, #e7e7e7
guide, #ffffff
inverter_card, #f5eeeb
item_cell_housing, #c0c0c0
item_storage_cell_16k, #deffff
item_storage_cell_1k, #dde6eb
item_storage_cell_256k, #ffffff
item_storage_cell_4k, #f5fff0
item_storage_cell_64k, #f7ffff
large_quartz_bud, #ffffff
light_blue_lumen_paint_ball, #ffffff
light_blue_paint_ball, #e7e7e7
light_gray_lumen_paint_ball, #ffffff
light_gray_paint_ball, #e7e7e7
lime_lumen_paint_ball, #ffffff
lime_paint_ball, #e7e7e7
logic_processor, #ffd996
logic_processor_press, #ffffff
magenta_lumen_paint_ball, #ffffff
magenta_paint_ball, #e7e7e7
matter_ball, #f4f4f4
matter_cannon, #ffffff
medium_quartz_bud, #ffffff
name_press, #ffffff
nether_quartz_axe, #ffffff
nether_quartz_cutting_knife, #ffffff
nether_quartz_hoe, #fff7e7
nether_quartz_pickaxe, #fffffa
nether_quartz_shovel, #ffffff
nether_quartz_sword, #e6d0be
nether_quartz_wrench, #ffffff
network_tool, #ffffff
orange_lumen_paint_ball, #ffffff
orange_paint_ball, #e7e7e7
pink_lumen_paint_ball, #ffffff
pink_paint_ball, #e7e7e7
portable_fluid_cell_16k, #abf1b2
portable_fluid_cell_1k, #abf1b2
portable_fluid_cell_256k, #abf1b2
portable_fluid_cell_4k, #abf1b2
portable_fluid_cell_64k, #abf1b2
portable_item_cell_16k, #abf1b2
portable_item_cell_1k, #abf1b2
portable_item_cell_256k, #abf1b2
portable_item_cell_4k, #abf1b2
portable_item_cell_64k, #abf1b2
printed_calculation_processor, #e3ffff
printed_engineering_processor, #91ffff
printed_logic_processor, #ffff9d
printed_silicon, #d0c9cc
processing_pattern, #faffff
purple_lumen_paint_ball, #ffffff
purple_paint_ball, #e7e7e7
quantum_entangled_singularity, #ffffff
quartz_cluster, #ffffff
red_lumen_paint_ball, #ffffff
red_paint_ball, #e7e7e7
redstone_card, #f1d4c3
silicon, #ffffff
silicon_press, #ffffff
singularity, #c3d2ff
sky_dust, #ffffff
small_quartz_bud, #ffffff
smithing_table_pattern, #faffff
spatial_cell_component_128, #ebc0ed
spatial_cell_component_16, #dcb5dd
spatial_cell_component_2, #d6acd7
spatial_storage_cell_128, #e4cced
spatial_storage_cell_16, #d9c8b6
spatial_storage_cell_2, #a2afc3
speed_card, #e7e0dc
stonecutting_pattern, #faffff
view_cell, #eafcc6
void_card, #a06654
white_lumen_paint_ball, #ffffff
white_paint_ball, #e7e7e7
wireless_booster, #e4eef5
wireless_crafting_terminal, #e1d2ea
wireless_receiver, #ffffff
wireless_terminal, #eee0f4
yellow_lumen_paint_ball, #ffffff
yellow_paint_ball, #e7e7e7
