// Compost colors for chipped. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_torch, #ffa255
andesite_pointed_dripstone, #ffffff
arched_black_stained_glass_pane_pillar, #575454
arched_blue_stained_glass_pane_pillar, #5b78a1
arched_brown_stained_glass_pane_pillar, #766151
arched_cyan_stained_glass_pane_pillar, #647a9e
arched_gray_stained_glass_pane_pillar, #474646
arched_green_stained_glass_pane_pillar, #798a51
arched_leaded_glass_pane_pillar, #c8dce0
arched_light_blue_stained_glass_pane_pillar, #7291d0
arched_light_gray_stained_glass_pane_pillar, #a09a9d
arched_lime_stained_glass_pane_pillar, #76cc44
arched_magenta_stained_glass_pane_pillar, #a15fca
arched_orange_stained_glass_pane_pillar, #cf7951
arched_pink_stained_glass_pane_pillar, #e37d9d
arched_purple_stained_glass_pane_pillar, #835ab8
arched_red_stained_glass_pane_pillar, #a46451
arched_white_stained_glass_pane_pillar, #ebe4e4
arched_yellow_stained_glass_pane_pillar, #d7ac51
barbed_iron_bars, #ffffff
barred_bamboo_door, #ffff84
barred_birch_door, #ffffd0
barred_cherry_door, #fff0e7
barred_crimson_door, #ab5175
barred_dark_oak_door, #6c4722
barred_jungle_door, #f4b282
barred_mangrove_door, #9a5754
barred_oak_door, #e1b96e
barred_spruce_door, #a47a4a
barred_warped_door, #46c9c3
basalt_pointed_dripstone, #e8e8ed
beach_acacia_door, #eb8957
beach_bamboo_door, #fffb7f
beach_birch_door, #ffffcf
beach_cherry_door, #ffeae1
beach_crimson_door, #af5278
beach_dark_oak_door, #694622
beach_mangrove_door, #a24b46
beach_oak_door, #e6be6f
beach_spruce_door, #a77c4b
beach_warped_door, #47c9c5
big_flower_lily_pad, #e6fec5
big_lantern, #fff0b2
big_soul_lantern, #bcfbff
birch_torch, #ffffb5
blackstone_pointed_dripstone, #e4e4e7
bloomed_warped_roots, #1bc39a
blue_paper_lantern, #ffffff
blue_paper_soul_lantern, #ffffff
blue_redstone_torch, #847a61
blue_tube_soul_lantern, #c8ffff
boarded_acacia_door, #d6845c
boarded_bamboo_door, #ffee84
boarded_birch_door, #ffeba0
