// Compost colors for gtceu. You may add your own colors, change existing ones, or remove colors that aren't needed.
activity_detector_cover, #b4aaa2
advanced_activity_detector_cover, #6c797a
advanced_electric_jetpack, #faffff
advanced_energy_detector_cover, #898d87
advanced_fluid_detector_cover, #707a80
advanced_fluid_voiding_cover, #667f84
advanced_integrated_circuit, #867f68
advanced_item_detector_cover, #787f7a
advanced_item_voiding_cover, #7a7d78
advanced_power_thruster, #473d33
advanced_quarktech_chestplate, #738950
advanced_smd_capacitor, #867579
advanced_smd_diode, #b2698d
advanced_smd_inductor, #bc515e
advanced_smd_resistor, #e1a58a
advanced_smd_transistor, #c38973
advanced_soc, #393c43
advanced_soc_wafer, #33373c
ancient_gold_coin, #fffc8d
anvil_casting_mold, #686868
avanced_nanomuscle_chestplate, #363a3a
ball_casting_mold, #7a7a7a
basic_electronic_circuit, #5c5252
basic_integrated_circuit, #867f68
bio_chaff, #fffff7
black_dye_spray_can, #a59697
black_glass_lens, #707073
blacklight, #823d91
block_casting_mold, #626262
block_extruder_mold, #7c7c7c
blue_dye_spray_can, #a596b5
blue_glass_lens, #8489c8
bolt_extruder_mold, #7a7a7a
bottle_casting_mold, #757575
bottle_extruder_mold, #7a7a7a
brick_wooden_form, #f5e3c6
brown_dye_spray_can, #ac9a97
brown_glass_lens, #af937d
capacitor, #89b4cc
carbon_fiber_mesh, #292929
carbon_fiber_plate, #434343
carbon_fibers, #474747
cell_extruder_mold, #797979
chemical_black_dye, #cdcdcd
chemical_blue_dye, #bcc6ff
chemical_brown_dye, #cfb5b5
chemical_cyan_dye, #bcffff
chemical_gray_dye, #ebebeb
chemical_green_dye, #bbffb8
chemical_light_blue_dye, #c6ffff
chemical_light_gray_dye, #948787
chemical_lime_dye, #bbffca
chemical_magenta_dye, #ffbfff
chemical_orange_dye, #ffffc2
chemical_pink_dye, #ffffff
chemical_purple_dye, #ffc5ff
chemical_red_dye, #ffc2c5
chemical_white_dye, #ffffff
chemical_yellow_dye, #ffffbc
chocolate_coin, #ffe087
coke_oven_brick, #af8768
compressed_clay, #d4e0e0
compressed_coke_clay, #bcb2a1
compressed_fireclay, #cdb6a8
computer_monitor_cover, #2a4b25
copper_credit, #d38e6c
cpu_chip, #6c6e72
cpu_wafer, #75787a
crafting_table_cover, #757373
