// Compost colors for mysticalagriculture. You may add your own colors, change existing ones, or remove colors that aren't needed.
air_agglomeratio, #d7d7d7
air_essence, #f8f8f8
air_seeds, #ffffff
aluminum_essence, #ffffff
aluminum_seeds, #ffffff
amethyst_bronze_essence, #cc90c6
amethyst_bronze_seeds, #c587bf
amethyst_essence, #c694ff
amethyst_seeds, #b182f7
apatite_essence, #34a0de
apatite_seeds, #339bdc
aquamarine_essence, #a1f7
aquamarine_seeds, #6fd3
awakened_supremium_axe, #872600
awakened_supremium_boots, #ee4604
awakened_supremium_bow, #6c2507
awakened_supremium_chestplate, #fb4a04
awakened_supremium_crossbow, #a2543e
awakened_supremium_essence, #e15b25
awakened_supremium_fishing_rod, #8d5f4d
awakened_supremium_gemstone, #fe6b2f
awakened_supremium_helmet, #f06932
awakened_supremium_hoe, #8c2800
awakened_supremium_ingot, #ff7f44
awakened_supremium_leggings, #e74300
awakened_supremium_nugget, #ffb88e
awakened_supremium_pickaxe, #912900
awakened_supremium_scythe, #9b3a12
awakened_supremium_shears, #cc5c2f
awakened_supremium_shovel, #b23300
awakened_supremium_sickle, #ffc0a1
awakened_supremium_sword, #ae3200
awakened_supremium_upgrade, #f45c1f
awakened_supremium_watering_can, #eb4400
basalt_essence, #434343
basalt_seeds, #404040
basalz_essence, #5a3e41
basalz_seeds, #46464d
blank_record, #545454
blank_skull, #ffffff
blaze_essence, #ffb515
blaze_seeds, #e17c11
blazing_crystal_essence, #ffd611
blazing_crystal_seeds, #ffc50f
blitz_essence, #fcffff
blitz_seeds, #feffff
blizz_essence, #90fbff
blizz_seeds, #9afcff
brass_essence, #ffe1b8
brass_seeds, #fffff8
bronze_essence, #e6642a
bronze_seeds, #e6662d
certus_quartz_essence, #ffffff
certus_quartz_seeds, #ffffff
chicken_essence, #ffffff
chicken_seeds, #ffffff
chrome_essence, #e1e1e1
chrome_seeds, #ffffff
coal_essence, #333334
coal_seeds, #2a2a2d
cobalt_essence, #185ec2
cobalt_seeds, #1154b5
cognizant_dust, #dc8000
compressed_iron_essence, #fefefe
compressed_iron_seeds, #656565
conductive_alloy_essence, #ffe6e3
conductive_alloy_seeds, #ffffff
constantan_essence, #e69441
constantan_seeds, #dd8c3d
copper_alloy_essence, #f4d398
copper_alloy_seeds, #ffffe7
copper_essence, #ffb69d
copper_seeds, #fffbea
coral_agglomeratio, #e190a7
coral_essence, #d28098
coral_seeds, #d38498
cow_essence, #b5542f
cow_seeds, #655547
creative_soulium_dagger, #7c049d
creeper_essence, #6b6b6b
creeper_seeds, #5bb850
cyanite_essence, #70bcfb
cyanite_seeds, #52a0dd
dark_steel_essence, #acacac
dark_steel_seeds, #f2f2f2
deepslate_essence, #68686e
deepslate_seeds, #5f5f66
diamond_essence, #5cebe0
diamond_scythe, #93b19b
diamond_seeds, #40d2c6
diamond_sickle, #fbffff
dirt_essence, #aa7851
dirt_seeds, #9b6c48
draconium_essence, #6b33a8
draconium_seeds, #5f2f9b
dye_agglomeratio, #ffffff
dye_essence, #ffffff
dye_seeds, #988a64
earth_agglomeratio, #d7d7d7
earth_essence, #f8f8f8
earth_seeds, #ffffff
electrum_essence, #fff07d
electrum_seeds, #ffed7a
elementium_essence, #ff3cb1
elementium_seeds, #ff33a8
emerald_essence, #51e175
emerald_seeds, #fa42c
end_agglomeratio, #ffffe6
end_essence, #ffffd7
end_seeds, #ffffd0
end_steel_essence, #f8f2b5
end_steel_seeds, #fffffa
enderium_essence, #166c87
enderium_seeds, #e4a6b
enderman_essence, #116658
enderman_seeds, #40404
energetic_alloy_essence, #ffe493
energetic_alloy_seeds, #ffffeb
energized_steel_essence, #ccab80
energized_steel_seeds, #b49772
experience_capsule, #523628
experience_droplet, #a7c255
experience_essence, #89e85b
experience_seeds, #75da5e
fertilized_essence, #ffb8ff
fiery_ingot_essence, #f8c05b
fiery_ingot_seeds, #fff794
fire_agglomeratio, #d7d7d7
fire_essence, #f8f8f8
fire_seeds, #ffffff
fish_essence, #e8b47d
fish_seeds, #e4b994
fluix_essence, #ffffff
fluix_seeds, #ffffff
fluorite_essence, #ffffff
fluorite_seeds, #ffffff
