// Compost colors for nuclearcraft. You may add your own colors, change existing ones, or remove colors that aren't needed.
actuator, #ffffff
alugentum_dust, #ffffff
aluminum_dust, #daede4
aluminum_ingot, #c5e4d3
aluminum_nugget, #f4ffff
aluminum_plate, #91a5bb
americium_241, #2f2f23
americium_241_ni, #4d5f30
americium_241_ox, #4e5146
americium_241_za, #726e3c
americium_242, #757269
americium_242_ni, #515e2d
americium_242_ox, #515046
americium_242_za, #6f6436
americium_243, #302d20
americium_243_ni, #555e2f
americium_243_ox, #555444
americium_243_za, #7d723a
arsenic_dust, #989b89
barium_dust, #5b5b5b
basic_electric_circuit, #658452
berkelium_247, #793304
berkelium_247_ni, #764a04
berkelium_247_ox, #7d4e54
berkelium_247_za, #af4804
berkelium_248, #6b2804
berkelium_248_ni, #7f4804
berkelium_248_ox, #824a50
berkelium_248_za, #bc4a05
beryllium_dust, #fcffd7
beryllium_ingot, #feffd9
beryllium_nugget, #e6e4ae
beryllium_plate, #ededa5
bioplastic, #70785b
bismuth_dust, #9a9898
borax_dust, #b6b6b6
boron_10, #a8a8a8
boron_10_ni, #a8a8a8
boron_10_ox, #a8a8a8
boron_10_za, #a8a8a8
boron_11, #808080
boron_11_ni, #808080
boron_11_ox, #808080
boron_11_za, #808080
boron_arsenide_dust, #83aa68
boron_arsenide_gem, #fffffb
boron_chunk, #b5b5b8
boron_dust, #5b5b5b
boron_ingot, #666666
boron_nitride_dust, #83aa68
boron_nitride_gem, #ddf5d6
boron_nugget, #657673
boron_plate, #757575
bronze_dust, #763a1f
bronze_ingot, #f2ac5a
bronze_nugget, #dc985c
bronze_plate, #b28d68
bscco_dust, #555050
c_mn_blend_dust, #7c8496
caesium_137_dust, #dadada
calcium_dust, #f4f2fc
calcium_ingot, #dad9c8
calcium_sulfate_dust, #fffaeb
californium_249, #47080e
californium_249_ni, #654126
californium_249_ox, #5e1543
californium_249_za, #8d151b
californium_250, #30161b
californium_250_ni, #573e26
californium_250_ox, #500c23
californium_250_za, #83121c
californium_251, #705b46
californium_251_ni, #584028
californium_251_ox, #54183e
californium_251_za, #7d141c
californium_252, #51070a
californium_252_ni, #614125
californium_252_ox, #62264a
californium_252_za, #96181b
carbon_manganese_dust, #361615
carbon_manganese_ingot, #262320
carobbiite_dust, #94a23a
carobbiite_gem, #fffff1
charcoal_dust, #292929
chromium_dust, #ababc3
chromium_ingot, #ffffff
coal_dust, #292929
cobalt_chunk, #ddf1ff
cobalt_dust, #5e84a7
cobalt_ingot, #324358
cobalt_nugget, #d2e3ff
cobalt_plate, #6668b4
cocoa_butter, #ffffd4
cocoa_solids, #502200
coil_bscco, #c3b8b8
coil_copper, #ffcda8
coil_magnesium_diboride, #18140f
copper_dust, #763a1f
copper_plate, #eaa861
