// Compost colors for thermal. You may add your own colors, change existing ones, or remove colors that aren't needed.
apatite, #e7ffff
apatite_dust, #50e7ff
aquachow, #fffff8
area_radius_augment, #82beaa
basalz_powder, #fffefc
basalz_rod, #ffffff
beekeeper_boots, #ffffff
beekeeper_chestplate, #fbffff
beekeeper_fabric, #ffffff
beekeeper_helmet, #fcffff
beekeeper_leggings, #ffffff
bitumen, #d2d0cf
blitz_powder, #ffffff
blitz_rod, #ffffff
blizz_powder, #ffffff
blizz_rod, #ffffff
cinnabar, #ffcfe0
cinnabar_dust, #e73957
coal_coke, #dadcde
compost, #967250
copper_coin, #ffffff
copper_dust, #ffffff
copper_gear, #fffff8
copper_nugget, #ffffff
copper_plate, #ffffff
creosote_bucket, #f2edee
crude_oil_bucket, #dedddd
cured_rubber, #ffffff
deep_aquachow, #467c7a
detonator, #ffffff
diamond_dust, #64fffb
diamond_gear, #69fffc
diving_boots, #ffffdd
diving_chestplate, #bfedc5
diving_fabric, #d7fffe
diving_helmet, #ffffbe
diving_leggings, #ffffff
drill_head, #ffffff
dynamo_fuel_augment, #9ba09b
dynamo_output_augment, #9a8a8a
dynamo_throttle_augment, #dde8dc
earth_charge, #fffefe
earth_grenade, #f2f4ff
emerald_dust, #36e365
emerald_gear, #3ce469
ender_bucket, #d7e7f0
ender_grenade, #ffffff
ender_pearl_dust, #288a7a
enderium_coin, #ffffff
enderium_dust, #ebffff
enderium_gear, #e3ffff
enderium_ingot, #abe0f1
enderium_nugget, #ffffff
enderium_plate, #fcffff
explosive_grenade, #ffffff
fire_grenade, #ffffff
florb, #ffffff
fluid_filter_augment, #7298f5
fluid_tank_augment, #849198
fluid_tank_creative_augment, #dc5bff
glowstone_bucket, #fffffc
glowstone_grenade, #ffffff
gold_coin, #ffe764
gold_dust, #ffd252
gold_gear, #ffd45a
gold_plate, #ffff9d
hazmat_boots, #fffcff
hazmat_chestplate, #bc868e
hazmat_fabric, #ffd3d4
hazmat_helmet, #fbfeff
hazmat_leggings, #ffe0e4
heavy_oil_bucket, #fff2f4
ice_charge, #ffffff
ice_grenade, #f1ffff
iron_coin, #c0c0c0
iron_dust, #b2b2b2
iron_gear, #b6b6b6
iron_plate, #eaeaea
item_filter_augment, #86bcff
junk_net, #ffffff
lapis_dust, #326ce0
lapis_gear, #336ce1
laser_diode, #ffffff
latex_bucket, #ffffff
light_oil_bucket, #fffef4
lightning_charge, #fff4d0
lightning_grenade, #ffffff
lock, #ffffff
lumium_coin, #ffffff
lumium_dust, #ffffff
lumium_gear, #ffffff
lumium_ingot, #fffffa
lumium_nugget, #ffffff
lumium_plate, #ffffff
machine_catalyst_augment, #6ca29d
machine_catalyst_creative_augment, #d35fff
machine_cycle_augment, #e3f7f1
machine_efficiency_augment, #8d8d9d
machine_efficiency_creative_augment, #ee4eff
machine_null_augment, #d4f5da
machine_output_augment, #aa9a84
machine_speed_augment, #8ca09d
netherite_coin, #544b50
netherite_dust, #4d4447
netherite_gear, #4e474a
netherite_nugget, #504a4d
netherite_plate, #666165
niter, #ffffff
niter_dust, #ffffff
nuke_grenade, #faffee
phyto_grenade, #f0ffff
phytogro, #ffffff
potion_amplifier_augment, #9ba2a2
potion_duration_augment, #a8b2b6
quartz_dust, #e8d4c6
quartz_gear, #ebd7c9
redprint, #ffffff
redstone_bucket, #ffe6e6
redstone_grenade, #fffffb
redstone_servo, #ffd0de
refined_fuel_bucket, #fffff4
resin_bucket, #fffee8
rf_coil, #ffeee7
rf_coil_augment, #75707c
rf_coil_creative_augment, #cc3aff
rf_coil_storage_augment, #6e8072
rf_coil_xfer_augment, #847c7a
rf_potato, #fff8eb
rich_slag, #fff0e7
rosin, #ffffed
rs_control_augment, #e8e4e1
rubber, #ffffff
sap_bucket, #ffe7d0
satchel, #ab9a98
saw_blade, #feffff
sawdust, #ffffff
side_config_augment, #deebda
signalum_coin, #ffffff
signalum_dust, #fff7e0
signalum_gear, #fff4dd
signalum_ingot, #ffc3a4
signalum_nugget, #ffffff
signalum_plate, #fffff8
slag, #f8f7f2
slime_grenade, #f2fff7
sulfur, #ffffff
sulfur_dust, #ffffff
syrup_bottle, #ffffff
syrup_bucket, #fffeee
tar, #e0dedd
tree_oil_bucket, #fffffa
upgrade_augment_1, #ffffff
upgrade_augment_2, #ffffff
upgrade_augment_3, #e6ffff
wrench, #ffffff
xp_crystal, #26629b
xp_storage_augment, #d2feeb
