// Compost colors for thermalendergy. You may add your own colors, change existing ones, or remove colors that aren't needed.
dynamo_consumption_nullifier_augment, #a7a5f0
dynamo_fuel_nullifier_augment, #be9edc
efficiency_nullifier_augment, #c6a2d9
endergy_upgrade_1, #84d4bc
endergy_upgrade_2, #c69aff
endergy_upgrade_3, #bfe6da
energy_nullifier_augment, #a7a0e8
melodic_range_augment, #bfb2f0
melodium_coin, #e0aeff
melodium_dust, #e1afff
melodium_gear, #d7a4ff
melodium_ingot, #ffffff
melodium_nugget, #dcb2ff
melodium_plate, #f1c3ff
prismalium_coin, #7ccfb9
prismalium_dust, #93e1c9
prismalium_gear, #8dddc5
prismalium_ingot, #aefae3
prismalium_nugget, #a2f1da
prismalium_plate, #a2f1da
resonant_catalyst_augment, #b5a2e3
stellarium_coin, #cdf2eb
stellarium_dust, #d2f2dd
stellarium_gear, #c2eae4
stellarium_ingot, #eafff1
stellarium_nugget, #deffea
stellarium_plate, #e0ffed
vibrating_core, #487055
